电视频道,#genre#
CCTV1,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv3hd/3000/index.m3u8?&encrypt=
CCTV4,http://58.220.219.14:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV5,http://61.169.37.218:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV7,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv7/350/index.m3u8?&encrypt=
CCTV8,http://61.169.37.218:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://61.169.37.218:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://61.169.37.218:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://61.169.37.218:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://61.169.37.218:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,http://61.169.37.218:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://61.169.37.218:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://111.20.40.165/PLTV/88888893/224/3221226921/index.m3u8
CCTV17,http://159.75.85.63:5678/zb.php?id=douyin
CCTV娱乐,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156405&extension=ts
CCTV戏曲,
TVB,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
咪咕体育,http://r.jdshipin.com/ln4xk
纬来体育,http://cfss.cc/api/ysp/cctv1.m3u8
超级体育,http://cfss.cc/api/ysp/cctv1.m3u8
精品体育,http://cfss.cc/api/ysp/cctv1.m3u8
北京卫视,http://hlsbkmgsplive.miguvideo.com/ws_w/2018/bjws/bjws2000/2000/index.m3u8?&encrypt=
黑龙江卫视,http://122.224.153.162:9901/tsfile/live/0143_1.m3u8?key=txiptv
吉林卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
辽宁卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?&encrypt=
河北卫视,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/hebei/350/index.m3u8?&encrypt=
山东卫视,http://hlsbkmgsplive.miguvideo.com/wd-shandongwssd-350/index.m3u8?&encrypt=
山西卫视,http://218.17.196.234:9901/tsfile/live/0118_1.m3u8
天津卫视,http://hlsbkmgsplive.miguvideo.com/wd-tianjinwssd-350/index.m3u8?&encrypt=
江苏卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/1200/index.m3u8?&encrypt=
安徽卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/anhuiwshd/2000/index.m3u8?&encrypt=
江西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/jxwshd/50/20190820/index.m3u8?&encrypt=
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
河南卫视,http://hlsbkmgsplive.miguvideo.com/wd-henanwssd-350/index.m3u8?&encrypt=
湖北卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?&encrypt=
湖南卫视,http://61.169.37.218:9901/tsfile/live/1004_1.m3u8?key=txiptv
东南卫视,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/bestv/dnws/1000/index.m3u8?&encrypt=
广东卫视,http://hlsbkmgsplive.miguvideo.com/ws_w/2018/gdws/gdws2000/2000/index.m3u8?&encrypt=
广东体育,http://218.17.196.234:9901/tsfile/live/1001_1.m3u8
广西卫视,http://hlsbkmgsplive.miguvideo.com/wd-guangxiwssd-350/index.m3u8?&encrypt=
海南卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1594363320_-990671769/envivo_x/SD/lvyou/711/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073744&ContentId=531262161&timezone=UTC&mtv_session=b55d04e0b5c7e772923fd49422a408a4&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=97ea95aaf536edf9a57ca0219cadc011&咪咕
云南卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/yunnan/1000/index.m3u8?&encrypt=
贵州卫视,http://hlsbkmgsplive.miguvideo.com/wd-guizhouwssd-350/index.m3u8?&encrypt=
重庆卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/chongqing/1000/index.m3u8?&encrypt=
四川卫视,http://218.17.196.234:9901/tsfile/live/0123_1.m3u8
西藏卫视,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/xizang/350/index.m3u8?&encrypt=
青海卫视,http://hlsbkmgsplive.miguvideo.com/envivo_w/2018/SD/qinghai/1000/index.m3u8?&encrypt=
新疆卫视,http://hlsbkmgsplive.miguvideo.com/wd-xinjiangwssd-600/index.m3u8?&encrypt=
甘肃卫视,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/gansu/1000/index.m3u8?&encrypt=
