龍🐉央视全,#genre#


重温经典频道,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000635
CCTV01综合,http://113.57.103.216:9000/tsfile/live/0001_1.m3u8?key=txiptv
CCTV02财经,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8?key=txiptv
CCTV03综艺,http://113.57.103.216:9000/tsfile/live/0003_1.m3u8?key=txiptv
CCTV04国际,http://113.57.103.216:9000/tsfile/live/0004_1.m3u8?key=txiptv
CCTV05体育,http://113.57.103.216:9000/tsfile/live/0005_1.m3u8?key=txiptv
CCTV06电影,http://113.57.103.216:9000/tsfile/live/0006_1.m3u8?key=txiptv
CCTV07国防军事,http://113.57.103.216:9000/tsfile/live/0007_1.m3u8?key=txiptv
CCTV08电视剧,http://113.57.103.216:9000/tsfile/live/0008_1.m3u8?key=txiptv
CCTV09记录,http://113.57.103.216:9000/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10科教,http://113.57.103.216:9000/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11戏曲,http://113.57.103.216:9000/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12社会与法,http://113.57.103.216:9000/tsfile/live/0012_1.m3u8?key=txiptv
CCTV14少儿,http://113.57.103.216:9000/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15音乐,http://113.57.103.216:9000/tsfile/live/0015_1.m3u8?key=txiptv


CCTV01综合,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576803.m3u8#http://101.71.176.182:8888/newlive/live/hls/2/live.m3u8
CCTV02财经,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576702.m3u8#http://101.71.176.182:8888/newlive/live/hls/3/live.m3u8
CCTV03综艺,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576501.m3u8#http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV04国际,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576601.m3u8#http://101.19.60.244:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV05体育,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576401.m3u8#http://101.19.60.244:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV05++台,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022576301.m3u8#http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV06电影,http://36.99.200.4/tlive-test-cdn.ysp.cctv.cn/001/ysp/2022574301.m3u8#http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8
